cluster_name,clean_name,review_count,average_rating
Batteries & Accesories mix (AmazonBasics),amazonbasics aaa performance alkaline batteries 36 count,7754,4.411013670363683
E-Readers & Kindle Accessories,"amazon kindle e-reader 6"" 2016",96,4.40625
Smart Devices & Streaming,amazon 5w usb official oem charger and power adapter for fire tablets and kindle ereaders amazon 5w usb official oem charger and power adapter for fire tablets and kindle ereaders,207,4.458937198067633
Tablets,fire tablet 7 -,14095,4.468605888612983
